rank,candidate,selected,bucket,families,reasoning_signature,score,states,witness,hamming_1,hamming_le_2,fog,overlaps,edge_rays,zero_depends,reach_depends,plate_depends,distributed_evidence,causal_ambiguity,overlap_quality,negative_evidence_quality,mechanic_interaction,symmetry_penalty,edge_abuse_penalty,trivial_witness_penalty,long_witness_penalty,near_duplicate_penalty
1,dense_height_plate_shutter-017,GR34,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> TYPE -> ZERO -> SHUTTER,38.9115,1518000,10,8,85,0,4,2,True,False,False,21.6,7.7115,3.4,1.2,6.6,0.0,-1.6,0.0,-0.0,0.0
2,finale-015,GR36,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> LIGHT -> ORIENTATION -> TYPE -> SHUTTER,38.247,6072000,10,11,92,0,2,0,False,False,False,22.0,7.847,2.6,0.0,5.8,0.0,-0.0,0.0,-0.0,0.0
3,finale-019,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> ORIENTATION -> LIGHT -> SHUTTER -> TYPE,38.2115,6072000,10,29,171,0,1,0,True,True,False,22.0,8.9115,1.8,1.2,4.3,0.0,-0.0,0.0,-0.0,0.0
4,finale-010,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> PLATE_ABSENCE -> TYPE -> ZERO -> LIGHT -> ORIENTATION -> SHUTTER,37.7708,6072000,10,14,167,0,1,0,False,True,True,21.6,8.8708,1.8,1.2,4.3,0.0,-0.0,0.0,-0.0,0.0
5,finale-002,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION -> TYPE -> SHUTTER,37.7218,6072000,10,13,217,0,2,3,True,False,True,22.0,9.3218,2.6,2.4,5.8,0.0,-4.4,0.0,-0.0,0.0
6,finale-009,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> LIGHT -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER,37.4374,6072000,10,20,167,0,1,2,True,True,True,22.0,8.8708,1.8,2.4,4.3,0.0,-1.9334,0.0,-0.0,0.0
7,finale-021,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> LIGHT -> SHUTTER -> TYPE -> ORIENTATION,36.8103,6072000,12,31,262,0,2,2,True,True,True,21.6,9.6467,2.6,2.4,5.8,0.0,-2.2364,0.0,-3.0,0.0
8,finale-023,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> REACH -> PLATE_ABSENCE -> LIGHT -> SHUTTER -> TYPE -> ORIENTATION,36.5091,6072000,12,18,220,0,2,2,True,False,True,21.6,9.3455,2.6,2.4,5.8,0.0,-2.2364,0.0,-3.0,0.0
9,finale-001,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> REACH -> SHADOW -> LIGHT -> TYPE -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,35.931,6072000,8,15,122,0,2,0,True,False,False,18.0,8.331,2.6,1.2,5.8,0.0,-0.0,0.0,-0.0,0.0
10,fog_plate_shutter-002,GR32,fog,PLATE+SHUTTER,SHADOW -> ZERO -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,35.8598,69000,9,26,264,3,0,1,True,False,True,20.2,9.6598,0.0,2.4,4.4,0.0,-0.8,0.0,-0.0,0.0
11,fog_plate_shutter-010,GR30,fog,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,35.4135,69000,8,10,128,3,1,0,True,False,True,18.4,8.4135,1.8,2.4,4.4,0.0,-0.0,0.0,-0.0,0.0
12,dense_height_plate_light-020,GR35,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> ZERO -> PLATE_ABSENCE -> LIGHT -> ORIENTATION -> TYPE,35.1316,1214400,10,16,92,0,2,3,True,False,True,21.2,7.847,2.6,2.4,5.1,0.0,-4.0154,0.0,-0.0,0.0
13,finale-024,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> PLATE_ABSENCE -> ZERO -> ORIENTATION -> SHUTTER,35.0218,6072000,11,7,98,0,1,2,True,True,True,22.0,7.9552,1.8,2.4,4.3,0.0,-1.9334,0.0,-1.5,0.0
14,finale-020,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> SHUTTER -> LIGHT -> TYPE -> ORIENTATION,34.9811,6072000,11,27,306,0,1,2,True,True,False,21.2,9.9145,1.8,1.2,4.3,0.0,-1.9334,0.0,-1.5,0.0
15,two_plate_shutter-008,GR24,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,34.9401,69000,9,15,130,0,1,1,True,False,True,20.2,8.4401,1.8,2.4,2.9,0.0,-0.8,0.0,-0.0,0.0
16,dense_height_plate_shutter-014,GR33,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> ZERO -> SHADOW -> SHUTTER -> REACH -> TYPE -> ORIENTATION,34.845,1518000,10,6,30,0,2,2,True,True,False,21.6,5.945,2.6,1.2,5.1,0.0,-1.6,0.0,-0.0,0.0
17,fog_plate_shutter-005,,fog,PLATE+SHUTTER,SHADOW -> ZERO -> SHUTTER -> PLATE_ABSENCE -> ORIENTATION,34.7513,69000,10,22,147,3,0,1,True,False,True,21.6,8.6513,0.0,2.4,2.9,0.0,-0.8,0.0,-0.0,0.0
18,finale-016,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER -> ORIENTATION -> PLATE_ABSENCE,34.6589,6072000,12,19,124,0,1,0,True,False,False,22.0,8.3589,1.8,1.2,4.3,0.0,-0.0,0.0,-3.0,0.0
