slot,candidate_id,selected,score,mask_id,fixed_lights,inventory_n_t_p,solution,legal_sockets,search_space,exact_survivors,shape_without_mask_survivors,tall_substitute_survivors,plate_substitute_survivors,fog_removes_shortcut,first_cell,first_survivors,reasoning_signature
GR36,gr36-010,True,2077.0,BRIDGE,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A2:normal,B4:normal,C3:tall,C2:plate_h",19,93024,1,2,0,0,False,A3,5952,OVERLAP/TALL/PLATE
GR36,gr36-016,False,2077.0,WAIST,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B2:normal,E4:normal,C3:tall,C4:plate_h",21,143640,1,2,0,0,False,E3,7560,OVERLAP/TALL/PLATE
GR35,gr35-004,False,2075.0,STAIR,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C2:normal,D3:normal,E4:tall,B2:plate_v",13,17160,1,2,0,0,False,D2,1850,OVERLAP/TALL/PLATE
GR35,gr35-006,False,2075.0,CORNER,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"D4:normal,E4:normal,C5:tall,C4:plate_h",16,43680,1,2,0,0,False,E5,2392,OVERLAP/TALL/PLATE
GR35,gr35-002,False,2072.44,NARROW,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B3:normal,A4:normal,C4:tall,A2:plate_v",15,32760,1,2,0,0,False,B4,444,OVERLAP/TALL/PLATE
GR36,gr36-002,False,2065.0,NARROW,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B2:normal,D3:normal,D2:tall,E2:plate_v",15,32760,1,2,0,0,False,D2,5184,OVERLAP/TALL/PLATE
GR35,gr35-001,False,2063.9,NARROW,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C2:normal,D4:normal,D3:tall,A4:plate_v",15,32760,1,2,0,0,False,D5,390,OVERLAP/TALL/PLATE
GR34,gr34-010,False,2061.0,BRIDGE,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A4:normal,C4:normal,A2:tall,B1:plate_h",19,93024,1,3,0,0,False,A3,5952,OVERLAP/TALL/PLATE
GR35,gr35-014,False,2061.0,FORK,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"D2:normal,D4:normal,E1:tall,E2:plate_v",17,57120,1,2,0,0,False,E2,3654,OVERLAP/TALL/PLATE
GR36,gr36-006,False,2061.0,CORNER,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B1:normal,B4:normal,A5:tall,B3:plate_v",16,43680,1,2,0,0,False,A3,6159,OVERLAP/TALL/PLATE
GR34,gr34-001,False,2060.44,NARROW,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A3:normal,C4:normal,B2:tall,A4:plate_v",15,32760,1,2,0,0,False,B4,444,OVERLAP/TALL/PLATE
GR35,gr35-013,False,2059.0,FORK,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C1:normal,A5:normal,D2:tall,A2:plate_v",17,57120,1,2,0,0,False,B2,3654,OVERLAP/TALL/PLATE
GR34,gr34-013,False,2057.12,FORK,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C1:normal,C4:normal,B2:tall,A4:plate_v",17,57120,1,2,0,0,False,B4,112,OVERLAP/TALL/PLATE
GR34,gr34-002,False,2053.0,NARROW,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C3:normal,E4:normal,B2:tall,A2:plate_v",15,32760,1,2,0,0,False,C2,5940,OVERLAP/TALL/PLATE
GR34,gr34-003,False,2053.0,STAIR,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C2:normal,D5:normal,E4:tall,B2:plate_v",13,17160,1,2,0,0,False,E5,990,OVERLAP/TALL/PLATE
GR34,gr34-004,False,2053.0,STAIR,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C3:normal,C4:normal,A2:tall,D4:plate_v",13,17160,1,2,0,0,False,C2,1850,OVERLAP/TALL/PLATE
GR34,gr34-011,False,2053.0,DIAMOND,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C1:normal,B4:normal,C5:tall,E3:plate_v",13,17160,1,2,0,0,False,B5,1420,OVERLAP/TALL/PLATE
GR34,gr34-012,False,2053.0,DIAMOND,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A3:normal,D4:normal,E3:tall,C1:plate_h",13,17160,1,2,0,0,False,E4,1420,OVERLAP/TALL/PLATE
GR35,gr35-003,False,2053.0,STAIR,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C2:normal,C4:normal,A2:tall,D4:plate_v",13,17160,1,2,0,0,False,A4,2640,SHADOW/TALL/PLATE
GR35,gr35-009,False,2053.0,BRIDGE,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"D1:normal,E4:normal,C2:tall,A5:plate_h",19,93024,1,2,0,0,False,D2,9588,OVERLAP/TALL/PLATE
GR35,gr35-011,True,2053.0,DIAMOND,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B2:normal,C5:normal,D2:tall,E3:plate_v",13,17160,1,2,0,0,False,C3,2240,ZERO/TALL/PLATE
GR36,gr36-004,False,2053.0,STAIR,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C4:normal,D5:normal,A2:tall,D4:plate_v",13,17160,1,2,0,0,False,C5,1850,OVERLAP/TALL/PLATE
GR34,gr34-014,False,2051.0,FORK,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"C2:normal,E5:normal,D2:tall,E4:plate_v",17,57120,1,2,0,0,False,B2,3654,OVERLAP/TALL/PLATE
GR36,gr36-005,False,2051.0,CORNER,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A4:normal,D5:normal,E4:tall,B2:plate_v",16,43680,1,2,0,0,False,E5,2392,OVERLAP/TALL/PLATE
GR35,gr35-005,False,2048.55,CORNER,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A2:normal,E4:normal,E5:tall,C4:plate_h",16,43680,1,2,0,0,False,E3,455,OVERLAP/TALL/PLATE
GR32,gr32-006,True,2043.9,CORNER,TOP+LEFT+RIGHT+BOTTOM,1/1/1,"B1:normal,A3:tall,B3:plate_v",16,6720,1,2,0,0,False,A1,190,OVERLAP/TALL/PLATE
GR32,gr32-007,False,2042.24,BRIDGE,TOP+LEFT+RIGHT+BOTTOM,1/1/1,"A2:normal,A1:tall,C2:plate_h",19,11628,1,2,0,0,False,A3,424,OVERLAP/TALL/PLATE
GR34,gr34-016,False,2041.0,WAIST,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"B4:normal,E4:normal,C1:tall,C4:plate_h",21,143640,1,2,0,0,False,C3,6066,OVERLAP/TALL/PLATE
GR35,gr35-010,False,2041.0,BRIDGE,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"E2:normal,C3:normal,A2:tall,C2:plate_h",19,93024,1,2,0,0,False,C2,11070,OVERLAP/TALL/PLATE
GR35,gr35-012,False,2041.0,DIAMOND,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A3:normal,C5:normal,D2:tall,B2:plate_h",13,17160,1,2,0,0,False,C3,2240,ZERO/TALL/PLATE
GR35,gr35-015,False,2041.0,WAIST,TOP+LEFT+RIGHT+BOTTOM,2/1/1,"A4:normal,E4:normal,E2:tall,C4:plate_h",21,143640,1,3,0,0,False,E3,7560,OVERLAP/TALL/PLATE
